,ts,project,offer_title,goal,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-03-31 14:07:23,Lime,Lime CPA,Займ отличный,4500,b22c6ac23fea95c95b9ca31d89bed728,,152373,,,,Admitad
1,2021-03-31 09:09:11,Lime,Lime CPA,Займ хороший,3000,1da5d6faf012cd79199638ccc2eba994,,205380,,,,Admitad
2,2021-03-31 08:00:24,Konga,Konga CPA,Займ хороший,1600,92408209b7d9f2726caa779c5957539f,,52519,,,,Admitad
3,2021-03-31 07:27:07,Lime,Lime CPA,Займ хороший,3000,b58a21c8d84217dbdc0d8f273ece1c41,,497351,,,,Admitad
4,2021-03-30 22:00:55,Lime,Lime CPA,Займ хороший,3000,7fe30ab3d32fafb277ccef4650cdfac2,,177921,,,,Admitad
5,2021-03-30 19:00:23,Konga,Konga CPA,Займ хороший,1600,f6986250a77c74a78dae71ecf77e9220,,177921,,,,Admitad
6,2021-03-30 16:51:15,Konga,Konga CPA,Займ хороший,1600,0d7ffccd2333beedad4dd5d7d38e3d8a,,322720,,,,Admitad
7,2021-03-30 16:00:39,Konga,Konga CPA,Займ отличный,2400,5db7a3ea99ee7153107b32db90879c2f,,52519,,,,Admitad
8,2021-03-30 14:00:24,Lime,Lime CPA,Займ хороший,3000,8f2edbe6662bbc800f3b1c3308498925,,539733,,,,Admitad
9,2021-03-30 11:39:21,Konga,Konga CPA,Займ хороший,1600,559378e21441772e86a84f5a1abfa6e5,,442763,,,,Admitad
10,2021-03-30 09:09:13,Konga,Konga CPA,Займ хороший,1600,bfc76ba69d7e892585ab9ae416fcceed,,497351,,,,Admitad
11,2021-03-30 07:41:26,Konga,Konga CPA,Займ хороший,1600,7fbd471f1e61a17ebdf91104355d10af,,141343,,,,Admitad
12,2021-03-30 03:41:17,Konga,Konga CPA,Займ хороший,1600,0976b638b67637a6533eb7228a60ac23,,539733,,,,Admitad
13,2021-03-29 22:01:27,Lime,Lime CPA,Займ хороший,3000,a2874e3752be8a756e1d43617cc5dc9b,,177921,,,,Admitad
14,2021-03-29 18:29:11,Lime,Lime CPA,Займ средний,1800,6506d12dab5739825c19e7622618e5fb,,539733,,,,Admitad
15,2021-03-29 17:01:14,Lime,Lime CPA,Займ хороший,3000,7a38c74f95314f6ccea2043efe5a1945,,539733,,,,Admitad
16,2021-03-29 14:11:58,Lime,Lime CPA,Займ отличный,4500,e86dfef41a9bdef8259c5b0dd4185e71,,539733,,,,Admitad
17,2021-03-29 09:27:12,Konga,Konga CPA,Займ хороший,1600,78e2be6c80b790f81f80a8f72ec833d4,,52519,,,,Admitad
18,2021-03-29 08:01:23,Lime,Lime CPA,Займ хороший,3000,0470c37e697c1aac5a02db5c063886b5,,539733,,,,Admitad
19,2021-03-29 06:15:24,Lime,Lime CPA,Займ хороший,3000,432ba5f919cee861fa0f76104551b66b,,539733,,,,Admitad
20,2021-03-29 06:03:16,Lime,Lime CPA,Займ средний,1800,1899775855009a90ab85dc1959dc3fb2,,539733,,,,Admitad
21,2021-03-28 18:43:18,Lime,Lime CPA,Займ средний,1800,b265f208140030545716b0bc72adc7e1,,177921,,,,Admitad
22,2021-03-28 18:31:21,Konga,Konga CPA,Займ хороший,1600,980692c8effd476ec7c4a5f1fb1f7519,,72795,,,,Admitad
