,ts,project,offer_title,goal,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-03-26 15:02:03,Lime,Lime CPA,Займ хороший,3000,8ed913f7605db9ac4692d861355964,,65423,,,,Advertise
1,2021-03-23 21:01:15,Lime,Lime CPA,Займ хороший,3000,197912f7605a0befea852398464044,,89880,,,,Advertise
2,2021-03-23 15:39:16,Lime,Lime CPA,Займ хороший,3000,707b11f76059ddf40439a413831816,,154993,,,,Advertise
3,2021-03-23 06:00:49,Lime,Lime CPA,Займ хороший,3000,d80511f760593c17781e0328334374,,140249,,,,Advertise
4,2021-03-19 07:33:11,Lime,Lime CPA,Займ отличный,4500,dfbe11f7605428aa8d21a470415632,,170206,,,,Advertise
5,2021-03-15 17:09:11,Konga,Konga CPA,Займ отличный,2400,274611f7604f675d92d4a424892085,,155686,,,,Advertise
6,2021-03-13 05:16:39,Lime,Lime CPA,Займ средний,1800,274611f760497cf6688c2655377377,,155686,,,,Advertise
7,2021-03-06 19:01:15,Lime,Lime CPA,Займ средний,1800,dfbe11f76043923a0f7e5450576722,,170206,,,,Advertise
8,2021-03-05 14:51:15,Lime,Lime CPA,Займ хороший,3000,085e12f76042195bd75a3063427172,,96265,,,,Advertise
9,2021-03-05 14:37:21,Lime,Lime CPA,Займ средний,1800,085e12f76040ba025a65e284550837,,96265,,,,Advertise
10,2021-03-05 08:43:24,Konga,Konga CPA,Займ хороший,1600,254611f76040834277b73063109550,,155684,,,,Advertise
11,2021-03-04 11:57:16,Lime,Lime CPA,Займ хороший,3000,dfbe11f760409b7e5cad1745328668,,170206,,,,Advertise
12,2021-03-04 01:53:11,Lime,Lime CPA,Займ средний,1800,8ed913f76040124c93a19234186538,,65423,,,,Advertise
13,2021-03-02 17:35:07,Lime,Lime CPA,Займ хороший,3000,dfbe11f7603e2cb484955584668242,,170206,,,,Advertise
