,ts,project,offer_title,goal,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-03-31 22:01:17,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,3PFZ1TMR37ZebyM,,4QCp,,,,CityAds
1,2021-03-31 21:25:16,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TMSe2ZvNYu,,5eDh,,,,CityAds
2,2021-03-31 20:47:30,Konga,Konga // Hybrid (new+repeat loans),Займ хороший,1600,99XZ1TMRIyZ9H3W,,sp3,,,,CityAds
3,2021-03-31 18:21:08,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,3PFZ1TMPdEZ9GTx,,KOxoXr,,,,CityAds
4,2021-03-31 18:02:07,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4500,3PFZ1TMMLCZ5oRn,,nZypxl,,,,CityAds
5,2021-03-31 15:01:39,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,3PFZ1TMJH3Z9ITB,,KOxoXr,,,,CityAds
6,2021-03-31 14:43:10,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,3PFZ1TMKJyZrkXA,,KOxoXr,,,,CityAds
7,2021-03-31 14:23:13,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TMLmeZ5o35,,5Fuh,,,,CityAds
8,2021-03-31 14:01:36,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,3PFZ1TMIrDZecF6,,r0445w,,,,CityAds
9,2021-03-31 14:01:31,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,3PFZ1TMJFQZrrdM,,4QCp,,,,CityAds
10,2021-03-31 13:21:13,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,3PFZ1TMKtvZvJ3D,,5pId,,,,CityAds
11,2021-03-31 12:01:42,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TMGInZrpxe,,sp3,,,,CityAds
12,2021-03-31 11:11:22,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TMImFZrkqH,,5eDh,,,,CityAds
13,2021-03-31 03:00:57,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,3PFZ1TMyBpZEyGe,,5eDh,,,,CityAds
14,2021-03-30 22:05:21,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,500,99XZ1TMvh2ZmTvv,,EloLQk,,,,CityAds
15,2021-03-30 21:00:33,Konga,Konga CPA,Займ отличный,2400,7WWZ1TMtwOZrjgg,,5eDh,,,,CityAds
16,2021-03-30 20:05:22,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,3PFZ1TMs3cZe6Kv,,k544Kx,,,,CityAds
17,2021-03-30 17:01:49,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,3PFZ1TMoSvZmVUH,,k544Kx,,,,CityAds
18,2021-03-30 16:45:16,Konga,Konga // Hybrid (new+repeat loans),Займ хороший,1600,99XZ1TMqr2ZvPUR,,EloLQk,,,,CityAds
19,2021-03-30 15:09:18,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,3PFZ1TLib1ZEDsB,,KOxoXr,,,,CityAds
20,2021-03-30 13:03:21,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,3PFZ1TMmN4Z9HLl,,KOxoXr,,,,CityAds
21,2021-03-30 12:02:10,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TMjEuZEEkJ,,sp3,,,,CityAds
22,2021-03-30 09:01:51,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TMheoZEy1h,,KOxoXr,,,,CityAds
23,2021-03-30 04:00:42,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TMcDJZedDY,,sp3,,,,CityAds
24,2021-03-30 04:00:42,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,3PFZ1TMd1pZEDRD,,KOxoXr,,,,CityAds
25,2021-03-30 00:01:08,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,3PFZ1TM8SiZ5it7,,27EF,,,,CityAds
26,2021-03-29 21:51:15,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,3PFZ1TM8c1ZiCmg,,k544Kx,,,,CityAds
27,2021-03-29 17:01:55,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,3PFZ1TM23MZ5ptn,,KOxoXr,,,,CityAds
28,2021-03-29 16:31:21,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TLtXqZvPjA,,KOxoXr,,,,CityAds
29,2021-03-29 14:59:16,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TISCIZED3r,,KOxoXr,,,,CityAds
30,2021-03-29 14:55:12,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4500,3PFZ1TM1AXZ9LEu,,27EF,,,,CityAds
31,2021-03-29 14:12:01,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,3PFZ1TLECWZroBw,,27EF,,,,CityAds
32,2021-03-29 14:01:35,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,3PFZ1TLYf1ZvIUt,,27EF,,,,CityAds
33,2021-03-29 13:01:40,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,3PFZ1TLTtQZ5j1o,,KOxoXr,,,,CityAds
34,2021-03-29 11:07:09,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TLW2DZ5iRt,,sp3,,,,CityAds
35,2021-03-29 11:01:40,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TLVc9ZiCsq,,4QCp,,,,CityAds
36,2021-03-29 11:01:40,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,3PFZ1TLsfDZ5ine,,KOxoXr,,,,CityAds
37,2021-03-29 10:25:17,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,3PFZ1TLW5cZrpJ2,,27EF,,,,CityAds
38,2021-03-29 02:03:33,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4500,3PFZ1TLKW7ZvP5K,,27EF,,,,CityAds
39,2021-03-28 22:00:58,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TLJ84Z9Ivi,,4QCp,,,,CityAds
40,2021-03-28 19:01:25,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,3PFZ1TLFxcZEDIO,,KOxoXr,,,,CityAds
41,2021-03-28 17:37:20,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,3PFZ1TKzHSZAdgb,,27EF,,,,CityAds
42,2021-03-28 17:01:27,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TGCD2Z9I0n,,27EF,,,,CityAds
43,2021-03-28 16:27:15,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TLl6GZEx6F,,r0445w,,,,CityAds
44,2021-03-28 15:25:17,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,3PFZ1TLC3bZ5n91,,KOxoXr,,,,CityAds
45,2021-03-28 15:01:28,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,3PFZ1TLAaXZvJOG,,KOxoXr,,,,CityAds
46,2021-03-28 14:57:23,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,3PFZ1TLDqGZrqGK,,4QCp,,,,CityAds
47,2021-03-28 13:33:15,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TLBf7Ze7km,,sp3,,,,CityAds
48,2021-03-28 11:29:19,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TLA4zZvI10,,KOxoXr,,,,CityAds
49,2021-03-28 08:39:07,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TLxkfZiwaH,,KOxoXr,,,,CityAds
50,2021-03-28 07:03:25,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TLvMVZEy5b,,4QCp,,,,CityAds
51,2021-03-28 06:31:15,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,3PFZ1TLv61Z9IKd,,KOxoXr,,,,CityAds
52,2021-03-28 05:31:13,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,3PFZ1TLu5XZEDw5,,KOxoXr,,,,CityAds
53,2021-03-27 21:35:14,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TLmAqZmU8b,,4QCp,,,,CityAds
54,2021-03-27 15:17:19,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4500,3PFZ1TLgvTZivPp,,sp3,,,,CityAds
55,2021-03-27 12:09:10,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TLdoUZn1IW,,sp3,,,,CityAds
56,2021-03-27 11:35:20,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TLcTHZrpSu,,oY4w23,,,,CityAds
57,2021-03-27 09:45:06,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,3PFZ1TLaAPZiCdq,,KOxoXr,,,,CityAds
58,2021-03-27 06:23:10,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,3PFZ1TL7NOZrkKX,,nZypxl,,,,CityAds
59,2021-03-27 03:00:46,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,3PFZ1TL2KEZn27b,,KOxoXr,,,,CityAds
60,2021-03-27 00:00:59,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TL08lZA8b6,,4QCp,,,,CityAds
61,2021-03-26 23:01:14,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,3PFZ1TKXyDZvPes,,nZypxl,,,,CityAds
62,2021-03-26 21:07:06,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4500,3PFZ1TKXXeZrpUS,,sp3,,,,CityAds
63,2021-03-26 21:01:17,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,3PFZ1TKUClZ5nPW,,r0445w,,,,CityAds
64,2021-03-26 19:01:39,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,3PFZ1TKTYVZA9Y5,,KOxoXr,,,,CityAds
65,2021-03-26 15:47:14,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,3PFZ1TEkFNZrjtC,,KOxoXr,,,,CityAds
66,2021-03-26 13:00:59,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,500,99XZ1TKJfsZiCBc,,sp3,,,,CityAds
67,2021-03-26 12:31:16,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4500,3PFZ1TKPuJZedsh,,Elkzp0,,,,CityAds
68,2021-03-26 11:35:23,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TJ8buZECUh,,KOxoXr,,,,CityAds
69,2021-03-26 10:51:12,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,3PFZ1TKNULZAfE2,,27EF,,,,CityAds
70,2021-03-26 10:37:21,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TKNBHZedzG,,r0445w,,,,CityAds
71,2021-03-26 10:23:10,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TC6pNZmYW7,,27EF,,,,CityAds
72,2021-03-26 09:01:22,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TKsWcZ5isV,,KOxoXr,,,,CityAds
73,2021-03-26 09:01:21,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TKKrzZ5nG0,,sp3,,,,CityAds
74,2021-03-25 22:01:14,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,3PFZ1TKzoAZvJok,,KOxoXr,,,,CityAds
75,2021-03-25 19:37:15,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,3PFZ1TKze7Z5hUP,,k544Kx,,,,CityAds
76,2021-03-25 16:25:15,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,3PFZ1TKvFvZiAzX,,r0445w,,,,CityAds
77,2021-03-25 15:27:27,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4500,3PFZ1TKvc9Zrksj,,4QCp,,,,CityAds
78,2021-03-25 12:11:18,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TKrTyZAdWS,,sp3,,,,CityAds
79,2021-03-25 12:01:53,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,3PFZ1TKpJ2Zecnj,,r0445w,,,,CityAds
80,2021-03-25 08:29:09,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,3PFZ1TKfheZA8sm,,HKJ,,,,CityAds
81,2021-03-25 08:11:12,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TKnItZe65r,,4QCp,,,,CityAds
82,2021-03-25 06:57:20,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1THIUSZmURV,,KOxoXr,,,,CityAds
83,2021-03-25 04:53:14,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TItAIZrr9l,,KOxoXr,,,,CityAds
84,2021-03-25 01:07:09,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TJQQBZ5i0z,,sp3,,,,CityAds
85,2021-03-24 23:21:25,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TKfqFZn00m,,sp3,,,,CityAds
86,2021-03-24 19:45:17,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TCUsiZ9Mn7,,KOxoXr,,,,CityAds
87,2021-03-24 18:57:21,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,500,99XZ1TKbqxZiwMU,,EloLQk,,,,CityAds
88,2021-03-24 18:55:19,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TBjPXZEDa9,,sp3,,,,CityAds
89,2021-03-24 18:01:35,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,3PFZ1TK8yqZECPl,,KOxoXr,,,,CityAds
90,2021-03-24 18:01:34,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,3PFZ1TK8xsZe6Cc,,k544Kx,,,,CityAds
91,2021-03-24 17:01:28,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4500,3PFZ1TK88HZiwyH,,sp3,,,,CityAds
92,2021-03-24 16:02:17,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4500,3PFZ1TK6C1Z5pki,,nZypxl,,,,CityAds
93,2021-03-24 16:00:42,Konga,Konga CPA,Займ отличный,2400,7WWZ1TK74TZEz0E,,58ZYo8,,,,CityAds
94,2021-03-24 15:05:22,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4500,3PFZ1TK7ELZ5nqS,,nZypxl,,,,CityAds
95,2021-03-24 14:19:22,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,3PFZ1TK6AMZiwVX,,r0445w,,,,CityAds
96,2021-03-24 14:17:02,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TDCpMZAdks,,KOxoXr,,,,CityAds
97,2021-03-24 11:00:51,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,500,99XZ1TK22fZ5jzP,,sp3,,,,CityAds
98,2021-03-24 10:41:21,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TK3bJZixne,,27EF,,,,CityAds
99,2021-03-24 10:07:08,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TK2JlZvJjt,,4QCp,,,,CityAds
100,2021-03-24 03:43:08,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TJVz4ZiBTX,,27EF,,,,CityAds
101,2021-03-23 22:01:02,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,3PFZ1TJOeiZAd7g,,KOxoXr,,,,CityAds
102,2021-03-23 21:13:16,Konga,Konga CPA,Займ хороший,1600,7WWZ1TJPhEZvNUm,,B1z,,,,CityAds
103,2021-03-23 21:03:10,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,500,99XZ1TJNA2ZEyBS,,sp3,,,,CityAds
104,2021-03-23 20:01:42,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TJMyDZiAdS,,r04lJk,,,,CityAds
105,2021-03-23 18:31:51,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TJMFUZmW0g,,sp3,,,,CityAds
106,2021-03-23 18:27:19,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TJMkVZil2m,,r04lJk,,,,CityAds
107,2021-03-23 16:59:14,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,3PFZ1TJKH7ZmYVp,,KOxoXr,,,,CityAds
108,2021-03-23 15:01:43,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TJHC8ZmVHX,,sp3,,,,CityAds
109,2021-03-23 14:00:49,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,500,99XZ1TJHdRZmVCC,,sp3,,,,CityAds
110,2021-03-23 12:03:17,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TJFEDZiAwP,,r0445w,,,,CityAds
111,2021-03-23 07:37:15,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,3PFZ1TJCdsZECMv,,k544Kx,,,,CityAds
112,2021-03-23 07:35:18,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,3PFZ1TJCbnZmU1V,,KOxoXr,,,,CityAds
113,2021-03-23 05:09:14,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TJxSPZ9Nj2,,sp3,,,,CityAds
114,2021-03-23 04:00:23,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,500,99XZ1TJx21ZmVvm,,sp3,,,,CityAds
115,2021-03-22 21:33:12,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,500,99XZ1TJsuIZrpMN,,sp3,,,,CityAds
116,2021-03-22 20:03:17,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,3PFZ1TJr34ZvJR3,,4QsT,,,,CityAds
117,2021-03-22 15:01:46,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,3PFZ1TJkyAZAfHO,,KOxoXr,,,,CityAds
118,2021-03-22 14:12:21,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TIVVJZ5hVG,,sp3,,,,CityAds
119,2021-03-22 14:01:35,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4500,3PFZ1TJjnCZmTKP,,k544Kx,,,,CityAds
120,2021-03-22 13:01:28,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TJioJZrjtP,,sp3,,,,CityAds
121,2021-03-22 11:01:16,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,3PFZ1TJgFCZEwPd,,sp3,,,,CityAds
122,2021-03-22 10:27:08,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,3PFZ1TICLaZ9Hbg,,1jAJwj,,,,CityAds
123,2021-03-22 05:03:11,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TJbTcZvIcC,,sp3,,,,CityAds
124,2021-03-22 02:01:17,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,3PFZ1TJ8buZECUh,,KOxoXr,,,,CityAds
125,2021-03-21 22:33:27,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,3PFZ1TJ67nZ5iP3,,sp3,,,,CityAds
126,2021-03-21 19:33:15,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,3PFZ1TJ0RbZrk1R,,KOxoXr,,,,CityAds
127,2021-03-21 19:25:19,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TJ2YUZvJH6,,sp3,,,,CityAds
128,2021-03-21 18:23:07,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,3PFZ1TJ21mZmVpX,,r0445w,,,,CityAds
129,2021-03-21 17:29:55,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4500,3PFZ1TIYpEZe6OC,,sp3,,,,CityAds
130,2021-03-21 10:55:11,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,500,99XZ1TITDJZvKvM,,sp3,,,,CityAds
131,2021-03-21 09:45:20,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,3PFZ1TISCIZED3r,,KOxoXr,,,,CityAds
132,2021-03-21 09:11:11,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TIS6cZ5n5l,,27EF,,,,CityAds
133,2021-03-20 18:57:16,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4500,3PFZ1TIolgZ9H0C,,1jAJwj,,,,CityAds
134,2021-03-20 18:29:21,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,3PFZ1TIDAQZvIWl,,sp3,,,,CityAds
135,2021-03-20 18:29:19,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,3PFZ1TIDPrZA9YM,,KOxoXr,,,,CityAds
