,ts,project,offer_title,goal,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-03-31 23:37:16,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,05004e44851ca15e44f67e9c6f533d35,,2764,,,,Guruleads
1,2021-03-31 23:01:08,Lime,Lime // Hybrid (new+repeat loans),Займ средний,3000,8c33e87a353c08a904561c4d9ad34035,,3091,,,,Guruleads
2,2021-03-31 23:01:06,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,3000,36aedec673795ea2cbd7c34f5b2a9ec4,,1563,,,,Guruleads
3,2021-03-31 22:19:14,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4500,26963e13ca033934bfe495bc8532647d,,3824,,,,Guruleads
4,2021-03-31 22:07:20,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,e03f2e7a36d5c74bf39a71731191bf8c,,2149,,,,Guruleads
5,2021-03-31 22:01:16,Lime,Lime // Hybrid (new+repeat loans),Займ средний,3000,df9dec00094cb00a02c37a569abd4540,,1563,,,,Guruleads
6,2021-03-31 21:13:13,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,6e1b716ce3f052543632007b3790caf9,,1563,,,,Guruleads
7,2021-03-31 21:01:14,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4500,255a41e229270f3120d1b495e475c927,,1501,,,,Guruleads
8,2021-03-31 20:53:10,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,3000,fb1d2c51e3de1613324046fa69b01490,,2018,,,,Guruleads
9,2021-03-31 20:49:20,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,46251dc8dd2397a2a5d6252467e2063f,,1563,,,,Guruleads
10,2021-03-31 20:19:16,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,3000,c39e83b67bf8d1c48378242ff6f3268e,,3091,,,,Guruleads
11,2021-03-31 20:11:10,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,3000,3ef220661985197d2f53d72685617063,,1563,,,,Guruleads
12,2021-03-31 20:11:10,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,26733f8e2f442115b7bf10dd9f237dc0,,121,,,,Guruleads
13,2021-03-31 20:01:37,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,42fcee110f0d5fdca4437da2f9f0031a,,1484,,,,Guruleads
14,2021-03-31 20:01:34,Lime,Lime // Hybrid (new+repeat loans),Займ средний,3000,73cf8ab7d4a54d09b8e73a5ef32a9704,,3519,,,,Guruleads
