,ts,project,offer_title,goal,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-03-31 23:01:08,Lime,Lime CPA,Займ средний,1800,e7e002b0-924a-11eb-be03-4da49eca5206,,2e00ba30-6912-11ea-8235-d16b1ab9c875,,,,LeadCraft
1,2021-03-31 22:31:17,Lime,Lime CPA,Займ средний,1800,b7fc1730-9249-11eb-988d-65c7c8daa489,,da73bf20-e81c-11e8-a766-117681841a7a,,,,LeadCraft
2,2021-03-31 21:01:15,Lime,Lime CPA,Займ средний,1800,17a2ad90-923f-11eb-aee5-078694820d68,,dab2c280-e81c-11e8-b783-29d716ecf4e7,,,,LeadCraft
3,2021-03-31 18:20:18,Konga,Konga CPA,Займ отличный,2400,924334a0-9231-11eb-a34b-455905e6e4d4,,c452fed0-6463-11eb-af32-450d0dee4c21,,,,LeadCraft
4,2021-03-31 18:02:07,Lime,Lime CPA,Займ хороший,3000,f26e24a0-9224-11eb-b6f1-17329fbcbad5,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LeadCraft
5,2021-03-31 17:49:10,Lime,Lime CPA,Займ хороший,3000,7dbc6920-922f-11eb-853f-6536e1328536,,2e00ba30-6912-11ea-8235-d16b1ab9c875,,,,LeadCraft
6,2021-03-31 15:59:24,Lime,Lime CPA,Займ средний,1800,4c6fb790-7f72-11eb-b8b5-bdc7cd28ccff,,2e00ba30-6912-11ea-8235-d16b1ab9c875,,,,LeadCraft
7,2021-03-31 15:31:18,Lime,Lime CPA,Займ хороший,3000,156424b0-921c-11eb-91dc-175786d5b00d,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LeadCraft
8,2021-03-31 15:23:10,Lime,Lime CPA,Займ хороший,3000,13431310-9212-11eb-8f12-131987da4c68,,2e00ba30-6912-11ea-8235-d16b1ab9c875,,,,LeadCraft
9,2021-03-31 11:15:12,Lime,Lime CPA,Займ хороший,3000,db72ce20-904f-11eb-a412-4731aabfe68c,,2e00ba30-6912-11ea-8235-d16b1ab9c875,,,,LeadCraft
10,2021-03-31 04:00:51,Lime,Lime CPA,Займ средний,1800,7a2290a0-8f8f-11eb-9fc6-a38f147a07e4,,dab2c280-e81c-11e8-b783-29d716ecf4e7,,,,LeadCraft
11,2021-03-30 21:01:33,Lime,Lime CPA,Займ средний,1800,1ba2c7a0-9175-11eb-a368-a5494c06fedb,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LeadCraft
12,2021-03-30 20:21:17,Lime,Lime CPA,Займ хороший,3000,f7a43da0-9174-11eb-9080-e1cfd595a83e,,dab2c280-e81c-11e8-b783-29d716ecf4e7,,,,LeadCraft
13,2021-03-30 20:09:13,Lime,Lime CPA,Займ хороший,3000,9c80b350-90fe-11eb-9560-6d8b1703daaf,,dab2c280-e81c-11e8-b783-29d716ecf4e7,,,,LeadCraft
14,2021-03-30 19:17:13,Lime,Lime CPA,Займ хороший,3000,c2fa1280-916b-11eb-b163-795df19ac157,,2e00ba30-6912-11ea-8235-d16b1ab9c875,,,,LeadCraft
15,2021-03-30 18:01:58,Lime,Lime CPA,Займ средний,1800,a39fb840-915d-11eb-ac10-f10dcab7bb97,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LeadCraft
16,2021-03-30 18:01:37,Lime,Lime CPA,Займ средний,1800,58f8b0d0-90d6-11eb-8e5b-856debd337ca,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LeadCraft
17,2021-03-30 18:00:40,Konga,Konga CPA,Займ хороший,1600,24a47fe0-915d-11eb-8994-e73e4f601524,,c452fed0-6463-11eb-af32-450d0dee4c21,,,,LeadCraft
18,2021-03-30 15:29:15,Lime,Lime CPA,Займ хороший,3000,674455c0-9151-11eb-a145-afa36b3379d8,,daf27610-e81c-11e8-bff2-01a64d6cbfbc,,,,LeadCraft
19,2021-03-30 14:55:15,Lime,Lime CPA,Займ хороший,3000,aa63bec0-914c-11eb-9ba4-91a2ad20298b,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LeadCraft
20,2021-03-30 13:15:13,Lime,Lime CPA,Займ хороший,3000,d45aec00-913f-11eb-b2b3-9fd64b6067ea,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LeadCraft
21,2021-03-30 12:02:09,Lime,Lime CPA,Займ средний,1800,7f4c6020-912c-11eb-9a44-758dd4a756c0,,daf27610-e81c-11e8-bff2-01a64d6cbfbc,,,,LeadCraft
22,2021-03-30 10:43:12,Lime,Lime CPA,Займ хороший,3000,74786cc0-9129-11eb-ae44-139130764223,,2e00ba30-6912-11ea-8235-d16b1ab9c875,,,,LeadCraft
23,2021-03-30 06:47:16,Lime,Lime CPA,Займ средний,1800,348a7f90-9109-11eb-90cf-b3f4a28b0d9f,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LeadCraft
24,2021-03-30 04:00:40,Lime,Lime CPA,Займ хороший,3000,571a9f40-90e3-11eb-80bf-fbad45903a5d,,daf27610-e81c-11e8-bff2-01a64d6cbfbc,,,,LeadCraft
25,2021-03-29 23:00:33,Konga,Konga CPA,Займ средний,800,286650d0-7954-11eb-896c-690c461f41d9,,c452fed0-6463-11eb-af32-450d0dee4c21,,,,LeadCraft
26,2021-03-29 16:29:19,Lime,Lime CPA,Займ средний,1800,52750ca0-9091-11eb-9921-d3718e36c226,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LeadCraft
27,2021-03-29 14:11:17,Lime,Lime CPA,Займ хороший,3000,4845d390-907c-11eb-a51e-edd2218d01b5,,dab2c280-e81c-11e8-b783-29d716ecf4e7,,,,LeadCraft
28,2021-03-29 13:57:10,Lime,Lime CPA,Займ хороший,3000,a8fa0ea0-9079-11eb-be9d-e38ddf519118,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LeadCraft
29,2021-03-29 12:54:59,Konga,Konga CPA,Займ хороший,1600,53834190-8f54-11eb-a706-07885d91e5a2,,c452fed0-6463-11eb-af32-450d0dee4c21,,,,LeadCraft
30,2021-03-29 12:15:13,Lime,Lime CPA,Займ средний,1800,a4683d30-906c-11eb-aec7-f711ec3d1129,,2e00ba30-6912-11ea-8235-d16b1ab9c875,,,,LeadCraft
31,2021-03-29 11:35:08,Lime,Lime CPA,Займ хороший,3000,08d5dee0-905c-11eb-a6d8-afd11cbc0c60,,dab2c280-e81c-11e8-b783-29d716ecf4e7,,,,LeadCraft
32,2021-03-29 10:00:58,Konga,Konga CPA,Займ хороший,1600,532f8040-9052-11eb-a45c-970b6c87bf33,,c452fed0-6463-11eb-af32-450d0dee4c21,,,,LeadCraft
33,2021-03-29 04:00:25,Konga,Konga CPA,Займ хороший,1600,0c9aa020-8921-11eb-bb75-7785b98f5655,,c452fed0-6463-11eb-af32-450d0dee4c21,,,,LeadCraft
34,2021-03-28 23:35:12,Lime,Lime CPA,Займ средний,1800,c0bf87e0-8fe0-11eb-8e47-cf8d98531884,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LeadCraft
35,2021-03-28 18:01:31,Lime,Lime CPA,Займ хороший,3000,d1b46f90-8fc8-11eb-b43a-6920aa86d794,,daf27610-e81c-11e8-bff2-01a64d6cbfbc,,,,LeadCraft
36,2021-03-28 17:49:16,Lime,Lime CPA,Займ хороший,3000,f2fb1980-8fc7-11eb-84df-0f341a69b72b,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LeadCraft
37,2021-03-28 15:13:11,Lime,Lime CPA,Займ хороший,3000,936fdc20-8fbd-11eb-8b4e-3dec65c9da44,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LeadCraft
38,2021-03-28 12:49:08,Lime,Lime CPA,Займ хороший,3000,5416b160-8fa8-11eb-bdcc-096b091b815d,,79c1c280-0a3f-11eb-9f7f-3766883c8965,,,,LeadCraft
