,ts,project,offer_title,goal,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-03-31 22:05:08,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,300,1024a77e504e50a82310e142ce8438,,34553,,,,LeadGid
1,2021-03-31 21:17:10,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,102b5c841931e2569c4ad7aea5d2f2,,29873,,,,LeadGid
2,2021-03-31 21:01:15,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4500,10204f599fb1aff14bd4f2c02ee7e0,,25799,,,,LeadGid
3,2021-03-31 20:43:20,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,102790c502e5165cd4d2cd8488ae8e,,33203,,,,LeadGid
4,2021-03-31 19:49:16,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,10235550ea13cd37b2f0ba5ff5b50a,,66888,,,,LeadGid
5,2021-03-31 19:49:09,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,1026ef6abf47f52f88e01e048a57e3,,34349,,,,LeadGid
6,2021-03-31 19:05:17,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,102f18e5550e6a8f570bdf24bd5472,,27369,,,,LeadGid
7,2021-03-31 18:59:16,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,102fbfbf6e075497b9b5d8cc2d4c33,,15335,,,,LeadGid
8,2021-03-31 18:45:15,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,102f422801153105771724d167241e,,26769,,,,LeadGid
9,2021-03-31 18:09:17,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,102adb626d860d9138c3c01e9d0bc9,,65981,,,,LeadGid
10,2021-03-31 18:07:19,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,1021de8cdc759c0ef6ad127295d31a,,29519,,,,LeadGid
11,2021-03-31 18:02:06,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,102d38efd902a7b0a62b0488b2e25e,,57977,,,,LeadGid
12,2021-03-31 17:57:06,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,1029b6a03a850f4724e323f66334ae,,34349,,,,LeadGid
13,2021-03-31 17:55:18,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,10277c446a65eebf61a384378998d7,,12428,,,,LeadGid
14,2021-03-31 17:33:09,Lime,Lime // Hybrid (new+repeat loans),Займ средний,3000,1029f2022914f959be0a4f145667e4,,64832,,,,LeadGid
15,2021-03-31 17:23:21,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,102a583b384290c8961fdb3fde4875,,19934,,,,LeadGid
16,2021-03-31 17:05:13,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,300,10267903d8b83cfde7a57b241413a9,,35043,,,,LeadGid
17,2021-03-31 17:01:48,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,1027c9564ddeee46838cf2dec38b61,,19934,,,,LeadGid
18,2021-03-31 16:53:10,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,102a000e3c23cdd6dd5738efc201b8,,12950,,,,LeadGid
19,2021-03-31 16:49:12,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,102dde8bfb48838a4f1edf84296df2,,70218,,,,LeadGid
20,2021-03-31 16:01:59,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,10234d95e6ee8e6bf109c26c442a9a,,26769,,,,LeadGid
21,2021-03-31 16:01:54,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,102137cfaef409db2ae6066ce7816e,,21140,,,,LeadGid
