,ts,project,offer_title,goal,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-03-31 16:01:59,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,948beedd-88f6-4a97-86e1-ab36b96a78a5,,826,,,,LeadTarget
1,2021-03-31 15:17:14,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,78dc08a7-2c7c-4534-9263-b4e759c1d044,,244,,,,LeadTarget
2,2021-03-31 11:55:11,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,269532b3-fed4-4265-9c11-8bb3c3815858,,249,,,,LeadTarget
3,2021-03-31 09:31:19,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,b076f303-c962-4d52-aa40-1474b0726fc9,,790,,,,LeadTarget
4,2021-03-30 16:44:59,Konga,Konga // Hybrid (new+repeat loans),Займ хороший,1600,6c2fda75-72e9-43df-b103-4fb3c4350e7a,,129,,,,LeadTarget
5,2021-03-30 16:00:39,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,300,61daf024-775b-48c2-aa3a-a3b6ddde6019,,129,,,,LeadTarget
6,2021-03-30 15:39:11,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,547370da-2144-4611-a9d0-74c448e30cd8,,244,,,,LeadTarget
7,2021-03-30 14:33:23,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,94fec39f-79d0-4a9e-ba62-a8bb41a51a1f,,244,,,,LeadTarget
8,2021-03-30 11:01:38,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,b8285ee2-3652-4aa1-b843-5fb7e666847b,,289,,,,LeadTarget
9,2021-03-30 09:01:46,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,2ec98545-6df3-46dd-9008-9c59816c161e,,249,,,,LeadTarget
10,2021-03-30 07:00:32,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,300,eba40e72-9f3f-4e9b-8cf9-86780be78bde,,129,,,,LeadTarget
11,2021-03-30 05:09:18,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,300,ad82bb91-0ecd-4853-b315-6f7dfe0db715,,6,,,,LeadTarget
