,ts,project,offer_title,goal,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-03-31 23:41:17,Konga,Konga // Hybrid (new+repeat loans),Займ хороший,2400,979ea4f5defedc40827cb38597591eb1,1086490,26807,,,,Leads
1,2021-03-31 23:01:08,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,15141d28510820ffc9e60c07a01c2e36,1144656,145787,,,,Leads
2,2021-03-31 23:01:08,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,d0a682f2324b7c4d280a256f755c8fad,1118603,48168,,,,Leads
3,2021-03-31 23:01:04,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,1107598d9702e8fc0190fe85a8f4786e,1117611,126905,,,,Leads
4,2021-03-31 23:00:31,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,2400,65952cb01f040faa48a3f461fca047a5,1118603,48168,,,,Leads
5,2021-03-31 22:49:08,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,6298856339106cecea6b1efd3154c519,1147464,141913,,,,Leads
6,2021-03-31 22:37:12,Konga,Konga // Hybrid (new+repeat loans),Займ хороший,2400,865ae12a2f6f4e3ce2901e4de6b6e9d3,1086490,26807,,,,Leads
7,2021-03-31 22:27:11,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,65c6d34907ef4ad2948a3cb8266a5cc4,1159086,154244,,,,Leads
8,2021-03-31 22:07:15,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,b7c72d83962aed31d59cb2c2cc2d5dc7,1117611,126905,,,,Leads
9,2021-03-31 22:01:15,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,eebb168fce4b6463b8cbed39f5271f29,1086490,26807,,,,Leads
10,2021-03-31 21:59:07,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,72a350640c71fe6a88ecd185cade14b0,1147981,148076,,,,Leads
11,2021-03-31 21:51:13,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,b5fa6a707dcd164bffafdc0bb4ad72c2,1126853,134174,,,,Leads
12,2021-03-31 21:43:16,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,da17ea26bc54cca1c9910837b574a33f,1146208,140237,,,,Leads
13,2021-03-31 21:17:09,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,d524df9d895a3f019a699f0c4bc2877b,1117611,126905,,,,Leads
14,2021-03-31 21:13:15,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,8156ada223b9a9b4ec61ec78aa85ad19,1103405,47386,,,,Leads
15,2021-03-31 21:01:16,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,51a2af9e5f3febcdb7b446129dfe17b4,1125124,132630,,,,Leads
16,2021-03-31 21:01:14,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4500,b650c897f5df2f06ec20734b4bbfbf70,1143732,145563,,,,Leads
17,2021-03-31 20:51:16,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,6d1e3a2d2e547497673df1cc1aa8251c,1102217,47493,,,,Leads
18,2021-03-31 20:49:15,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4500,49ecf2241293e9f4cd4f83df38a88e60,1147463,141913,,,,Leads
19,2021-03-31 20:19:16,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,17db2dac0cd73bee8a2bb85683ba9f33,1123045,46928,,,,Leads
20,2021-03-31 20:07:09,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,300,c0dfa9ed7f9f1cd0469aad3386aa1579,1109435,62466,,,,Leads
21,2021-03-31 20:05:12,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,77d5835109f95aada380f3f9ef850624,1103405,47386,,,,Leads
22,2021-03-31 20:01:33,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,12abd7a2d633416e9c288a2272f786f4,1146662,147178,,,,Leads
23,2021-03-31 20:00:38,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,2400,5c211bef97027d024ce41d6c216e3a16,1086490,26807,,,,Leads
24,2021-03-31 19:35:11,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,8abeee77c2a415ffcca8b39b56b112f8,1117611,126905,,,,Leads
25,2021-03-31 19:27:13,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,fa166315efd389a112bba675061c3185,1136623,140766,,,,Leads
26,2021-03-31 19:07:21,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,e544184810985e69cf992167cb9a0502,1095387,41790,,,,Leads
27,2021-03-31 18:49:15,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,c30d30c933f02b44f084cd7797684f96,1117611,126905,,,,Leads
28,2021-03-31 18:45:15,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,7efaaa8ace7fe07dd5dabd571bdbc70c,1076442,6578,,,,Leads
29,2021-03-31 18:25:13,Konga,Konga // Hybrid (new+repeat loans),Займ отличный,2400,99b836ea379645cef9be594f71b249ba,1118603,48168,,,,Leads
30,2021-03-31 18:20:14,Konga,Konga // Hybrid (new+repeat loans),Повторный займ,300,d0a5c6903e5814d60b760b0da379f358,1118081,127420,,,,Leads
