,ts,project,offer_title,goal,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-03-31 23:19:11,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,,641,,,,,Rafinad
1,2021-03-31 21:53:19,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,,672,,,,,Rafinad
2,2021-03-31 20:13:13,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,,676,,,,,Rafinad
3,2021-03-31 20:01:35,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,,640,,,,,Rafinad
4,2021-03-31 19:57:12,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,,676,,,,,Rafinad
5,2021-03-31 19:07:16,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,,641,,,,,Rafinad
6,2021-03-31 19:05:08,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,,674,,,,,Rafinad
7,2021-03-31 19:01:09,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,,196,,,,,Rafinad
8,2021-03-31 18:55:18,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,,641,,,,,Rafinad
9,2021-03-31 18:31:16,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,,197,,,,,Rafinad
10,2021-03-31 18:20:48,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,,12,,,,,Rafinad
11,2021-03-31 18:10:33,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,,675,,,,,Rafinad
12,2021-03-31 18:02:08,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,,675,,,,,Rafinad
13,2021-03-31 18:02:07,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,,196,,,,,Rafinad
14,2021-03-31 17:41:07,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,,196,,,,,Rafinad
15,2021-03-31 17:19:11,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,,193,,,,,Rafinad
16,2021-03-31 17:01:45,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,,197,,,,,Rafinad
17,2021-03-31 16:21:07,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4500,,12,,,,,Rafinad
18,2021-03-31 15:47:12,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,,196,,,,,Rafinad
19,2021-03-31 15:01:50,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,,504,,,,,Rafinad
20,2021-03-31 14:01:45,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,,505,,,,,Rafinad
21,2021-03-31 14:01:31,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,,497,,,,,Rafinad
22,2021-03-31 13:01:50,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,,196,,,,,Rafinad
23,2021-03-31 13:01:40,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,,675,,,,,Rafinad
