,ts,project,offer_title,goal,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-03-31 20:01:35,Lime,Lime CPA,Займ хороший,3000,d11b2750-9234-11eb-b981-173eba253fda,,065f5d80-1dae-11eb-a389-f90169eef072,,,,SaleAds
1,2021-03-31 18:02:08,Lime,Lime CPA,Займ средний,1800,aa6161d0-9221-11eb-9e89-5b6cc6f068d3,,de5ed0d0-c98f-11e9-9356-13b4824cb393,,,,SaleAds
2,2021-03-28 14:01:41,Lime,Lime CPA,Займ хороший,3000,979fa210-8d3d-11eb-a6ed-254d1f4ed49a,,83b6abf0-12bd-11eb-bcf9-1584ef38e625,,,,SaleAds
3,2021-03-28 12:41:16,Lime,Lime CPA,Займ хороший,3000,af9bdd40-8fa6-11eb-b30c-8bb9a4bc94c4,,de5ed0d0-c98f-11e9-9356-13b4824cb393,,,,SaleAds
4,2021-03-26 13:35:20,Lime,Lime CPA,Займ средний,1800,128a8260-8e1c-11eb-b16d-815174e7437a,,de5ed0d0-c98f-11e9-9356-13b4824cb393,,,,SaleAds
5,2021-03-25 15:01:50,Lime,Lime CPA,Займ хороший,3000,6f3da690-8ac6-11eb-9a20-e945edac5f27,,de5ed0d0-c98f-11e9-9356-13b4824cb393,,,,SaleAds
6,2021-03-25 01:01:48,Lime,Lime CPA,Займ средний,1800,12d44000-7cba-11eb-8c2f-4d8c76843020,,aab1c0c0-a8f8-11ea-b01a-79ef0e03f526,,,,SaleAds
7,2021-03-24 19:27:18,Lime,Lime CPA,Займ отличный,4500,1c938770-8cbb-11eb-b8af-9b893f7ea344,,de5ed0d0-c98f-11e9-9356-13b4824cb393,,,,SaleAds
8,2021-03-23 18:13:12,Lime,Lime CPA,Займ хороший,3000,7cb5f690-8be8-11eb-9989-e58cd4a0316e,,de5ed0d0-c98f-11e9-9356-13b4824cb393,,,,SaleAds
9,2021-03-23 04:09:12,Lime,Lime CPA,Займ хороший,3000,7d2b4750-8b72-11eb-9a25-1f0a07614f69,,a1bb1580-166b-11ea-96e0-bfff8aa84b3d,,,,SaleAds
10,2021-03-22 16:01:44,Lime,Lime CPA,Займ хороший,3000,fcf4fee0-8afa-11eb-b2a7-e97ba665265e,,de5ed0d0-c98f-11e9-9356-13b4824cb393,,,,SaleAds
11,2021-03-10 14:01:30,Lime,Lime CPA,Займ хороший,3000,bc4ba1e0-817d-11eb-b780-13afbf19bef2,,de5ed0d0-c98f-11e9-9356-13b4824cb393,,,,SaleAds
12,2021-03-10 12:01:09,Lime,Lime CPA,Займ хороший,3000,30b70080-816e-11eb-bd36-5f77011a4d1f,,de5ed0d0-c98f-11e9-9356-13b4824cb393,,,,SaleAds
13,2021-03-09 15:13:20,Lime,Lime CPA,Займ отличный,4500,197079c0-80bb-11eb-81a9-574dac373fe7,,07de20b0-1541-11eb-8822-5391e8a2cd81,,,,SaleAds
14,2021-03-01 13:57:15,Lime,Lime CPA,Займ хороший,3000,ad8e82f0-7350-11eb-908f-a79494e81e79,,de5ed0d0-c98f-11e9-9356-13b4824cb393,,,,SaleAds
