,ts,project,offer_title,goal,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-03-31 22:00:34,Konga,Konga CPA,Займ хороший,1600,102f2730b4977062386a6d6f85a5f2,,,,,,banki.ru
1,2021-03-31 14:35:15,Lime,Lime CPA,Займ хороший,3000,102ac201129fe72a4062d843a98831,,AFFID,,,,banki.ru
2,2021-03-31 13:09:11,Lime,Lime CPA,Займ хороший,3000,1023bc35512bed43aacfae00e27bda,,AFFID,,,,banki.ru
3,2021-03-31 04:21:07,Konga,Konga CPA,Займ хороший,1600,1024a408558e70449873b46f8e0839,,,,,,banki.ru
4,2021-03-31 02:00:26,Konga,Konga CPA,Займ отличный,2400,1023a3b20ecde52f171a697ad21ff1,,,,,,banki.ru
5,2021-03-31 01:00:33,Konga,Konga CPA,Займ хороший,1600,102738d8bed6bfbb75e2b27b005be4,,,,,,banki.ru
6,2021-03-31 00:19:18,Konga,Konga CPA,Займ хороший,1600,10211e659eb89cb574a33edf0ddcb2,,,,,,banki.ru
7,2021-03-31 00:11:26,Konga,Konga CPA,Займ хороший,1600,102ed42859a34678f2e86871b51d3e,,,,,,banki.ru
8,2021-03-30 19:05:20,Konga,Konga CPA,Займ средний,800,1025c396fa54c26f2c71258b7c9e2c,,,,,,banki.ru
9,2021-03-30 19:01:33,Lime,Lime CPA,Займ хороший,3000,102e699fdb4f5fda46746d52431090,,AFFID,,,,banki.ru
10,2021-03-30 16:25:26,Lime,Lime CPA,Займ средний,1800,1026220163c47c09077df347b91310,,AFFID,,,,banki.ru
11,2021-03-30 13:11:08,Konga,Konga CPA,Займ отличный,2400,1022dc6e99164c19fcc2185b7b37af,,,,,,banki.ru
12,2021-03-30 12:00:45,Konga,Konga CPA,Займ хороший,1600,10290cb61c046e0b32f5569136c49a,,,,,,banki.ru
13,2021-03-30 10:27:19,Konga,Konga CPA,Займ хороший,1600,102917a9798cef712af15a05458855,,,,,,banki.ru
14,2021-03-30 09:37:14,Konga,Konga CPA,Займ хороший,1600,102f325a7b467789629f308cccf82f,,,,,,banki.ru
15,2021-03-30 09:00:50,Konga,Konga CPA,Займ хороший,1600,1028f8a9345137e1700b41b2456a12,,,,,,banki.ru
16,2021-03-30 08:31:20,Lime,Lime CPA,Займ средний,1800,102424b2b093456c424e332d6ad253,,AFFID,,,,banki.ru
17,2021-03-29 20:51:14,Lime,Lime CPA,Займ хороший,3000,1028d8cde81727c51cf0c1a59cf51e,,AFFID,,,,banki.ru
18,2021-03-29 18:00:21,Konga,Konga CPA,Займ хороший,1600,1028acae28989a6d963e4692399ffe,,,,,,banki.ru
19,2021-03-29 17:47:19,Konga,Konga CPA,Займ хороший,1600,1021cbd11a4a121cb9b05af8948b3d,,,,,,banki.ru
20,2021-03-29 17:01:47,Lime,Lime CPA,Займ хороший,3000,10221ac60023ec67030a46495490f7,,AFFID,,,,banki.ru
21,2021-03-29 14:35:12,Konga,Konga CPA,Займ хороший,1600,102a0473f31cad70bcc896bd686f2d,,,,,,banki.ru
22,2021-03-29 14:21:15,Konga,Konga CPA,Займ хороший,1600,102fa32aca3823458eb947100bd7c0,,,,,,banki.ru
23,2021-03-29 14:01:30,Lime,Lime CPA,Займ средний,1800,102bb035326d2b4073857b97331e87,,AFFID,,,,banki.ru
24,2021-03-29 13:41:14,Lime,Lime CPA,Займ хороший,3000,102832e488c968cd21c0480ebce79c,,AFFID,,,,banki.ru
25,2021-03-29 13:21:10,Konga,Konga CPA,Займ хороший,1600,102b807f86d750ce4b8ef8b0453dde,,,,,,banki.ru
26,2021-03-29 12:31:25,Lime,Lime CPA,Займ хороший,3000,1027fa8db604f7ce376aecc3b8ee43,,AFFID,,,,banki.ru
27,2021-03-29 12:00:46,Konga,Konga CPA,Займ хороший,1600,102faaecb8ee2edad2bcfbe547ec6d,,,,,,banki.ru
28,2021-03-29 11:53:13,Konga,Konga CPA,Займ отличный,2400,1028f4903c010cf6c728ab7a61d8cb,,,,,,banki.ru
29,2021-03-29 08:59:13,Konga,Konga CPA,Займ средний,800,1022f895f03ce916d732e0f12f8d3f,,,,,,banki.ru
30,2021-03-29 08:09:24,Konga,Konga CPA,Займ хороший,1600,1026202c2eb13bcdfd5aae8de01312,,,,,,banki.ru
31,2021-03-29 06:15:18,Lime,Lime CPA,Займ средний,1800,102d211b29110582471adfe1b33342,,AFFID,,,,banki.ru
32,2021-03-28 20:11:13,Lime,Lime CPA,Займ средний,1800,1023fb7048767205e21bdf6bbcdd22,,AFFID,,,,banki.ru
33,2021-03-28 18:35:18,Konga,Konga CPA,Займ хороший,1600,10243947a4b8f2b904db9aee2a4151,,,,,,banki.ru
34,2021-03-28 17:33:13,Lime,Lime CPA,Займ средний,1800,1021cbca9521ac209fd96f24744304,,AFFID,,,,banki.ru
35,2021-03-28 14:01:35,Lime,Lime CPA,Займ хороший,3000,10237a2c40a9f6c4b9de990a6fcdb8,,AFFID,,,,banki.ru
36,2021-03-28 13:47:18,Lime,Lime CPA,Займ хороший,3000,10283e4361fcec3797aa8362595c9e,,AFFID,,,,banki.ru
37,2021-03-28 13:00:48,Konga,Konga CPA,Займ отличный,2400,1024266a5ae9adcc412f0d30f78bdc,,,,,,banki.ru
38,2021-03-28 12:53:25,Konga,Konga CPA,Займ отличный,2400,102843c56bec4303901b056e0e561f,,,,,,banki.ru
39,2021-03-28 12:41:13,Konga,Konga CPA,Займ отличный,2400,102a90c0db3bb01affdbc42015679f,,,,,,banki.ru
40,2021-03-28 12:39:07,Konga,Konga CPA,Займ хороший,1600,10249b6d531f420918c7d067280ea3,,,,,,banki.ru
41,2021-03-28 12:01:46,Lime,Lime CPA,Займ средний,1800,1022dc581874547208b1ef0fd00fd3,,AFFID,,,,banki.ru
42,2021-03-28 12:00:50,Konga,Konga CPA,Займ хороший,1600,1029bfd9928d75d73d70ec9116cf01,,,,,,banki.ru
43,2021-03-28 10:17:25,Konga,Konga CPA,Займ хороший,1600,102ea742879cae83a511e725d47def,,,,,,banki.ru
44,2021-03-28 08:41:17,Konga,Konga CPA,Займ хороший,1600,10214b0961d05be29d70c718b4cac4,,,,,,banki.ru
45,2021-03-28 05:41:14,Lime,Lime CPA,Займ хороший,3000,10281c03e5582949380ee10bee44bd,,AFFID,,,,banki.ru
46,2021-03-28 04:57:20,Konga,Konga CPA,Займ хороший,1600,10206277df7a5060452b9ff0e01e3e,,,,,,banki.ru
47,2021-03-28 00:00:38,Konga,Konga CPA,Займ хороший,1600,10280f0e8fd80b31a0d1a03853f0ee,,,,,,banki.ru
48,2021-03-27 21:17:16,Konga,Konga CPA,Займ хороший,1600,102a8e6b95d47b290e2adf7f4580f7,,,,,,banki.ru
49,2021-03-27 19:21:13,Lime,Lime CPA,Займ хороший,3000,1020cd0c967410077d2dbbbd0047e9,,AFFID,,,,banki.ru
50,2021-03-27 16:27:16,Lime,Lime CPA,Займ хороший,3000,102559d35308e289e647afb2dfba05,,AFFID,,,,banki.ru
51,2021-03-27 15:05:09,Konga,Konga CPA,Займ хороший,1600,102d78240522d69297a19b7db96144,,,,,,banki.ru
52,2021-03-27 15:03:19,Konga,Konga CPA,Займ отличный,2400,102cf249576864e5b6c3831e7d7167,,,,,,banki.ru
53,2021-03-27 15:01:34,Lime,Lime CPA,Займ средний,1800,102070128f9a28dbb9bbf182368b5c,,AFFID,,,,banki.ru
54,2021-03-27 14:41:14,Konga,Konga CPA,Займ хороший,1600,1020fa8bd01d449e8aa43389c9ba35,,,,,,banki.ru
55,2021-03-27 14:09:08,Konga,Konga CPA,Займ хороший,1600,1025d8a484ccc3a53f24a5af3d646e,,,,,,banki.ru
56,2021-03-27 14:01:46,Lime,Lime CPA,Займ средний,1800,102b990bdddfb8f1a4f54e9f0bd58b,,AFFID,,,,banki.ru
57,2021-03-27 13:01:27,Lime,Lime CPA,Займ хороший,3000,102e772c7c7363995c8e50ca33ddf2,,AFFID,,,,banki.ru
58,2021-03-27 12:00:56,Konga,Konga CPA,Займ хороший,1600,1027e20f0fc49ee6cc97df79074209,,,,,,banki.ru
59,2021-03-27 12:00:54,Konga,Konga CPA,Займ хороший,1600,102c54a450cd26bf261346e14b8200,,,,,,banki.ru
60,2021-03-27 11:00:53,Konga,Konga CPA,Займ хороший,1600,102f9f718421026c70a0440ca5ecce,,,,,,banki.ru
61,2021-03-27 07:27:20,Konga,Konga CPA,Займ хороший,1600,102eb4fa8621a5fa1f18ba2bd36303,,,,,,banki.ru
62,2021-03-27 04:45:16,Konga,Konga CPA,Займ хороший,1600,102e2c48c185dbeaac01b22a67292a,,,,,,banki.ru
63,2021-03-26 21:01:15,Lime,Lime CPA,Займ средний,1800,1025319d67a93fa87688f5b53fe3ec,,AFFID,,,,banki.ru
64,2021-03-26 17:01:37,Lime,Lime CPA,Займ средний,1800,102a84a798c11fbb6f474e6ddb003b,,AFFID,,,,banki.ru
65,2021-03-26 16:15:15,Konga,Konga CPA,Займ хороший,1600,1022f1bed6b3efe99608229d94bbaf,,,,,,banki.ru
66,2021-03-26 15:43:13,Konga,Konga CPA,Займ отличный,2400,1029ade0f305cc3c25acc149e95028,,,,,,banki.ru
67,2021-03-26 14:51:16,Lime,Lime CPA,Займ хороший,3000,102c04508c2d5e63eb69cd6b1494c4,,AFFID,,,,banki.ru
68,2021-03-26 14:00:54,Konga,Konga CPA,Займ хороший,1600,102b5ea11ca47c35da64e933a671e9,,,,,,banki.ru
69,2021-03-26 13:17:14,Lime,Lime CPA,Займ средний,1800,1020eac8cea7cb3402106f5e977689,,AFFID,,,,banki.ru
70,2021-03-26 12:36:47,Konga,Konga CPA,Займ отличный,2400,1023cf6cceebc0effdc3b3ed7d6603,,,,,,banki.ru
71,2021-03-26 09:01:23,Lime,Lime CPA,Займ хороший,3000,10287328221f69e2abee8322097ff8,,AFFID,,,,banki.ru
72,2021-03-26 05:59:12,Konga,Konga CPA,Займ хороший,1600,102a3275ecb2a5aa9a617085af9c63,,,,,,banki.ru
73,2021-03-25 23:31:07,Konga,Konga CPA,Займ хороший,1600,1023eb2a218107279e5ee3451304a0,,,,,,banki.ru
74,2021-03-25 23:27:09,Konga,Konga CPA,Займ хороший,1600,102114d1ba06a79e9b4063061d6ca9,,,,,,banki.ru
75,2021-03-25 23:01:22,Lime,Lime CPA,Займ отличный,4500,1026ba0ad5ee6d015508dfa787e483,,AFFID,,,,banki.ru
76,2021-03-25 21:55:11,Konga,Konga CPA,Займ хороший,1600,102cfff6c1c9a106ac6688aa8b11a9,,,,,,banki.ru
77,2021-03-25 20:01:46,Lime,Lime CPA,Займ хороший,3000,1026f1e04e61d3daa1081dfe879d20,,AFFID,,,,banki.ru
78,2021-03-25 20:00:53,Konga,Konga CPA,Займ хороший,1600,102727e0d2fb60ea4c2ca5f00db9f1,,,,,,banki.ru
79,2021-03-25 17:31:22,Konga,Konga CPA,Займ отличный,2400,10259a8238825f28a3bbf086a277c9,,,,,,banki.ru
80,2021-03-25 17:00:54,Konga,Konga CPA,Займ отличный,2400,102ec8e7432850e6e6a1815718cb46,,,,,,banki.ru
81,2021-03-25 13:45:15,Konga,Konga CPA,Займ хороший,1600,102558a13a75075104b300c5bd51aa,,,,,,banki.ru
82,2021-03-25 13:11:47,Konga,Konga CPA,Займ хороший,1600,10225c0f79149ceb8395b8e5fb7ffa,,,,,,banki.ru
83,2021-03-25 12:00:49,Konga,Konga CPA,Займ хороший,1600,102b99b38630f1750ada770646f980,,,,,,banki.ru
84,2021-03-25 10:00:49,Konga,Konga CPA,Займ хороший,1600,102311405995c16b518ec369f3a2e7,,,,,,banki.ru
85,2021-03-25 09:01:46,Lime,Lime CPA,Займ хороший,3000,102437d00d7615995dc668f03bd2eb,,AFFID,,,,banki.ru
86,2021-03-25 09:00:35,Konga,Konga CPA,Займ хороший,1600,1022afe7c2f7a101ce6626e1ffd1b9,,,,,,banki.ru
87,2021-03-25 08:00:40,Konga,Konga CPA,Займ средний,800,10252f81be5ec50c2db7bfbcff856b,,,,,,banki.ru
88,2021-03-25 01:43:25,Konga,Konga CPA,Займ хороший,1600,102cfe3297f855e8405220201d68b3,,,,,,banki.ru
89,2021-03-24 23:33:07,Lime,Lime CPA,Займ средний,1800,1027b0c18e31163ced5fb2a16c5f78,,AFFID,,,,banki.ru
90,2021-03-24 22:47:19,Konga,Konga CPA,Займ отличный,2400,1028a61e95f86c9222262d294295cf,,,,,,banki.ru
91,2021-03-24 21:55:17,Konga,Konga CPA,Займ хороший,1600,10222b42118cf5b29e79b1e60fb81b,,,,,,banki.ru
92,2021-03-24 20:13:16,Lime,Lime CPA,Займ хороший,3000,102502eb1acaed5a3492fecbb8fbc9,,AFFID,,,,banki.ru
93,2021-03-24 20:01:30,Lime,Lime CPA,Займ хороший,3000,102760bd3f91f28ad6910cf6f8aecb,,AFFID,,,,banki.ru
94,2021-03-24 17:01:28,Lime,Lime CPA,Займ средний,1800,1029f3442dd88123153212e06b5c31,,AFFID,,,,banki.ru
95,2021-03-24 17:01:27,Lime,Lime CPA,Займ хороший,3000,102fbb17ccb4d4f0078b75b9b853ad,,AFFID,,,,banki.ru
96,2021-03-24 16:02:15,Lime,Lime CPA,Займ средний,1800,1029129740d2e81d988c412f237836,,AFFID,,,,banki.ru
97,2021-03-24 15:41:10,Lime,Lime CPA,Займ средний,1800,1022d5032344d8510d24170ab2435d,,AFFID,,,,banki.ru
98,2021-03-24 15:01:33,Lime,Lime CPA,Займ хороший,3000,1024dcee74d43ab2b269bd0c5b7fa7,,AFFID,,,,banki.ru
99,2021-03-24 15:00:50,Konga,Konga CPA,Займ хороший,1600,1028affa98a7767d26b016535a9051,,,,,,banki.ru
100,2021-03-24 14:45:14,Konga,Konga CPA,Займ хороший,1600,102550bf789d0fa5886c08326302cd,,,,,,banki.ru
101,2021-03-24 08:17:10,Konga,Konga CPA,Займ хороший,1600,102e4599d08e307df0a16fefcf40bd,,,,,,banki.ru
102,2021-03-24 07:19:15,Lime,Lime CPA,Займ средний,1800,102fab029972adfa2b03fe48064c05,,AFFID,,,,banki.ru
103,2021-03-24 06:57:07,Lime,Lime CPA,Займ хороший,3000,102c7e59dc894ee5f1977c5159e995,,AFFID,,,,banki.ru
104,2021-03-24 06:00:21,Konga,Konga CPA,Займ хороший,1600,1029d8d2f122512f1405dd48d06e2c,,,,,,banki.ru
105,2021-03-24 03:00:56,Lime,Lime CPA,Займ средний,1800,102491d93722075c5c8685c9c1e6f1,,AFFID,,,,banki.ru
106,2021-03-23 21:00:35,Konga,Konga CPA,Займ хороший,1600,102746f7dacc021fa3e0da697be6c8,,,,,,banki.ru
107,2021-03-23 21:00:34,Konga,Konga CPA,Займ хороший,1600,10272f5cf8b0e91aded956559e0a33,,,,,,banki.ru
108,2021-03-23 19:01:25,Lime,Lime CPA,Займ хороший,3000,102e9a70a61b7f3b251210111efed4,,AFFID,,,,banki.ru
109,2021-03-23 14:47:25,Lime,Lime CPA,Займ хороший,3000,102c9ea950582c938879248c9f5f1b,,AFFID,,,,banki.ru
110,2021-03-23 14:27:14,Lime,Lime CPA,Займ хороший,3000,10208617b36ec81a9007b0f8f5c7cc,,AFFID,,,,banki.ru
111,2021-03-23 14:23:13,Lime,Lime CPA,Займ средний,1800,1024e80919213f257a8757a078da50,,AFFID,,,,banki.ru
112,2021-03-23 11:31:14,Konga,Konga CPA,Займ хороший,1600,10230c737545c0fd3a739229ffa2ac,,,,,,banki.ru
