,ts,project,offer_title,goal,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-03-31 18:02:10,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,60647a01f4dba90001644a6e,,,,,,bankiros
1,2021-03-31 17:21:17,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,60648370f4dba90001644f12,,,,,,bankiros
2,2021-03-31 13:40:44,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,60645118f4dba90001643339,,,,,,bankiros
3,2021-03-31 12:25:18,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,6064243af4dba90001641a81,,,,,,bankiros
4,2021-03-30 23:25:16,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,60602c6bf4dba9000162a73e,,,,,,bankiros
5,2021-03-30 20:05:29,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4500,60633f88f4dba9000163d93f,,,,,,bankiros
6,2021-03-30 20:05:24,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4500,60633e21f4dba9000163d8a8,,,,,,bankiros
7,2021-03-30 16:01:59,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,60630d62f4dba9000163be8a,,,,,,bankiros
8,2021-03-30 15:57:20,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,60631e71f4dba9000163c87a,,,,,,bankiros
9,2021-03-30 14:49:17,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,6063063ff4dba9000163ba35,,,,,,bankiros
10,2021-03-30 14:02:17,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,6062f2f1f4dba9000163ae8a,,,,,,bankiros
11,2021-03-30 14:02:14,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,6062eb7ff4dba9000163aa16,,,,,,bankiros
12,2021-03-30 13:01:59,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,6062dbd5f4dba90001639fc7,,,,,,bankiros
13,2021-03-30 13:01:57,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,6053bc51f4dba900015dfa43,,,,,,bankiros
14,2021-03-30 08:34:05,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,6062b768f4dba90001638b22,,,,,,bankiros
15,2021-03-30 07:59:26,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,605e3431f4dba9000162172c,,,,,,bankiros
16,2021-03-29 22:01:25,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,60620961f4dba90001636582,,,,,,bankiros
17,2021-03-29 14:11:45,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,605f9962f4dba90001628a8b,,,,,,bankiros
18,2021-03-28 22:37:21,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,6060d857f4dba9000162f257,,,,,,bankiros
19,2021-03-28 17:53:12,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,606096eaf4dba9000162d9c2,,,,,,bankiros
20,2021-03-28 16:19:08,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,60608095f4dba9000162cf3e,,,,,,bankiros
21,2021-03-28 14:29:11,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,60606591f4dba9000162c31a,,,,,,bankiros
22,2021-03-28 00:01:06,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,605f8562f4dba900016285f6,,,,,,bankiros
23,2021-03-27 23:25:14,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,605f8f61f4dba9000162886c,,,,,,bankiros
24,2021-03-27 18:21:10,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,6050ee7df4dba900015d0fd7,,,,,,bankiros
25,2021-03-27 13:01:30,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,605ecc88f4dba90001623506,,,,,,bankiros
26,2021-03-27 00:00:54,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,605e367ff4dba900016217c9,,,,,,bankiros
27,2021-03-26 22:31:14,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,605e3431f4dba9000162172c,,,,,,bankiros
28,2021-03-26 21:05:20,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,6058590df4dba900015fb093,,,,,,bankiros
29,2021-03-26 20:55:22,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4500,60487847f4dba900015b1cb1,,,,,,bankiros
