,ts,project,offer_title,goal,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-03-31 04:05:13,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,d6421uqqna8bl71c,,,,,,finfort.ru
1,2021-03-30 00:01:08,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,725f2uqqexr0bf7,,,,,,finfort.ru
2,2021-03-29 13:01:43,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,54a06uq2ta7i41f2,,,,,,finfort.ru
3,2021-03-28 19:01:24,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,8e2f6mye8ft8n784,,,,,,finfort.ru
4,2021-03-25 20:01:49,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,163d4mya6b7dz06a,,,,,,finfort.ru
5,2021-03-24 16:31:17,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,0b49ascg53z6o03c,,,,,,finfort.ru
6,2021-03-22 15:23:15,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,9ee188wxihq0fa5,,,,,,finfort.ru
7,2021-03-17 23:09:10,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,53ddeg5521n8n227,,,,,,finfort.ru
8,2021-03-17 14:37:20,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,3d1fdg5a9bzwj9e7,,,,,,finfort.ru
9,2021-03-16 06:37:15,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,2da04e2ftg6fe59b,,,,,,finfort.ru
10,2021-03-11 17:41:20,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,f8de4hopmxsfe11e,,,,,,finfort.ru
11,2021-03-11 13:09:23,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,aea75e2fyg5wj33a,,,,,,finfort.ru
12,2021-03-11 07:33:14,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,8ead21nwhj2dz1fb,,,,,,finfort.ru
13,2021-03-10 17:13:14,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,40b42e2j68w3y738,,,,,,finfort.ru
14,2021-03-09 15:37:16,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,2da04e2ftg6fe59b,,,,,,finfort.ru
15,2021-03-06 10:01:12,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,d5fd8e2k2kt3ya4c,,,,,,finfort.ru
16,2021-03-04 18:41:10,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4500,183bfb7e8scvr3e6,,,,,,finfort.ru
17,2021-03-03 23:31:22,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4500,92e48b7sya3fee2d,,,,,,finfort.ru
18,2021-03-03 15:29:11,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,90989b7j6slwj7a7,,,,,,finfort.ru
19,2021-03-03 13:49:02,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,641e4b7ojq5i4a7c,,,,,,finfort.ru
20,2021-03-03 11:45:13,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,96897b71nejdz330,,,,,,finfort.ru
21,2021-03-01 20:01:00,Lime,Lime // Hybrid (new+repeat loans),Займ средний,1800,88198b7a2gh3ybbb,,,,,,finfort.ru
