,ts,project,offer_title,goal,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-03-31 23:53:17,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,,173,1f26eda2b7ab4da28466011aef310901,l5kk9fdvo6znmzhp7oem04of4enhsrk4,,,leads.tech
1,2021-03-31 23:37:23,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,,173,8009f893e366403b93a08785f85ae9fe,x09wob194yubgubfk48d17xjrta9sjyi,,,leads.tech
2,2021-03-31 23:31:10,Lime,Lime // Hybrid (new+repeat loans),Займ средний,3000,,6,edf84f5dfcf8452798e4fd052726193e,S_31_03,,,leads.tech
3,2021-03-31 23:19:23,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,,174,cb4bb7aeea3b4a9788ee2041744de474,vvdri0rre611n9pq0j5c9mkr861jtqsv,,,leads.tech
4,2021-03-31 23:01:08,Lime,Lime // Hybrid (new+repeat loans),Займ средний,3000,,173,ce2205f2fbd64aa1b14d1a4b9eb45d2b,b75rjzgkxqjuqnberh0el2yq6ngmg1a8,,,leads.tech
5,2021-03-31 23:01:04,Lime,Lime // Hybrid (new+repeat loans),Займ средний,3000,,173,d9fed6a10d6049049ab753511aa40ada,mtw3xanmbgxz9vzvhs4sz3jiyei3w5iv,,,leads.tech
6,2021-03-31 22:31:15,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,3000,,173,0071e0c234a24a2489fe9af3d5da557a,kelfj7zjiwo8lq1k6rcs8t8yktmvthj5,,,leads.tech
7,2021-03-31 22:01:16,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,,174,c2865b712f23496ab3e32fd7a1bd7b31,u8owl37dfebat90jse8qrofm0v60tigd,,,leads.tech
8,2021-03-31 22:01:16,Lime,Lime // Hybrid (new+repeat loans),Займ средний,3000,,173,6b5928045dd8458787abd9b357c30668,gucdkjmw2ru77xg3p5cfjhwhtz5ym77y,,,leads.tech
9,2021-03-31 22:01:16,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,,leads_tech_givemoney-credit_13,1c8f921e09ec4d1593578ecca1b39e40,fid_givemoney_credit_new,,,leads.tech
10,2021-03-31 22:01:14,Lime,Lime // Hybrid (new+repeat loans),Займ средний,3000,,devtek_leads_api_imoneys_55,691743df5e4945858c0a37ee516fea01,fid_imoneys_credit,,,leads.tech
11,2021-03-31 21:55:14,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,,174,19a023657d4643b6a6fdfcbde20d0fbc,trrti7hjdtu1bwj9je3uwut5tyvtpst1,,,leads.tech
12,2021-03-31 21:53:14,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,,173,9cfbbecd991b4cdbbef95b46f09250e3,5gift84v2s2et2ysaua2v79zbytlovej,,,leads.tech
13,2021-03-31 21:23:19,Lime,Lime // Hybrid (new+repeat loans),Повторный займ,500,,174,f78f7fef39304f9e972d28d5017b58f2,58ezur2n3x1wd7zdl5wmz2v0l73yiuiz,,,leads.tech
14,2021-03-31 21:01:15,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,,173,240ce66ccb964e8c972e294cb40e5bd1,o3ks5x0zyp44fbmzrhzcyahe21lxldbd,,,leads.tech
15,2021-03-31 21:01:15,Lime,Lime // Hybrid (new+repeat loans),Займ средний,3000,,84190901,ad35cef78cd14008b5bc1cfb0e9b6e4c,Stena-Lime,,,leads.tech
16,2021-03-31 20:33:18,Lime,Lime // Hybrid (new+repeat loans),Займ средний,3000,,173,0f89edd2addc4fdea358cdda9330bd97,zuics250babzu90oh1jb1vnz7h6uv041,,,leads.tech
17,2021-03-31 20:23:10,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,,173,c7e9aacc023d4950b2ea54db52fa8bb5,1foc9epfkhe69o5hxyds7j2qcsk24qlx,,,leads.tech
18,2021-03-31 20:07:11,Lime,Lime // Hybrid (new+repeat loans),Займ средний,3000,,173,e7960b71d5cf4d319b36b6f69cfe5b51,73hdyshg73u28voqj6oxi1zymxkp7sgx,,,leads.tech
19,2021-03-31 20:01:37,Lime,Lime // Hybrid (new+repeat loans),Займ средний,3000,,,fba99b01e6614ae1ad699d9d6df7ed3e,MFO_NEW,,,leads.tech
20,2021-03-31 20:01:35,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,,174,0d9dc30bfb1245ab93ff3db8e0d298b4,eojqwyuc85l320slq22izn706cifix2e,,,leads.tech
21,2021-03-31 20:01:14,Lime,Lime // Hybrid (new+repeat loans),Займ средний,3000,,,7a0ee18e163a40fcbf40ce2b346e39df,WEB_NEW,,,leads.tech
22,2021-03-31 19:57:16,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,,174,36d35cf16ae34dbba0e8ca2b07e624df,vyfajqz1h59vsjl7rpokjnxiu0r067fu,,,leads.tech
23,2021-03-31 19:55:20,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,,,f60ca1479bbe4b58ae425c440fa7b9ec,BND-MAIL,,,leads.tech
24,2021-03-31 19:53:08,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,,173,916e8104662d4661befdc32a70386730,5uurwtlmi355susxij1wm2sjaso57nvg,,,leads.tech
25,2021-03-31 19:45:09,Lime,Lime // Hybrid (new+repeat loans),Займ средний,3000,,guruleads_givemoney_credit_280,9e450e45d96646a4828bdcd462cd10d4,fid_givemoney_credit_k2k,,,leads.tech
