,ts,project,offer_title,goal,payouts,sub1,sub2,sub3,sub4,sub5,sub6,affiliate
0,2021-03-28 00:01:08,Lime,Lime CPA,Займ хороший,3000,,,,,,,ОКБ
1,2021-03-26 18:15:18,Lime,Lime // Hybrid (new+repeat loans),Займ отличный,4500,,,,,,,ОКБ
2,2021-03-26 13:04:06,Lime,Lime CPA,Займ отличный,4500,,,,,,,ОКБ
3,2021-03-25 06:55:10,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,,,,,,,ОКБ
4,2021-03-24 08:00:59,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,,,,,,,ОКБ
5,2021-03-23 16:01:30,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,,,,,,,ОКБ
6,2021-03-23 15:41:11,Lime,Lime CPA,Займ хороший,3000,,,,,,,ОКБ
7,2021-03-23 14:27:21,Lime,Lime CPA,Займ хороший,3000,,,,,,,ОКБ
8,2021-03-22 17:01:18,Lime,Lime // Hybrid (new+repeat loans),Займ хороший,3000,,,,,,,ОКБ
9,2021-03-22 13:29:15,Lime,Lime CPA,Займ хороший,3000,,,,,,,ОКБ
10,2021-03-22 10:33:16,Lime,Lime CPA,Займ хороший,3000,,,,,,,ОКБ
11,2021-03-20 08:35:16,Lime,Lime CPA,Займ хороший,3000,,,,,,,ОКБ
12,2021-03-17 16:01:10,Lime,Lime CPA,Займ отличный,4500,,,,,,,ОКБ
13,2021-03-17 11:01:08,Lime,Lime CPA,Займ хороший,3000,,,,,,,ОКБ
14,2021-03-12 12:07:08,Lime,Lime CPA,Займ средний,1800,,,,,,,ОКБ
15,2021-03-11 09:01:18,Lime,Lime CPA,Займ средний,1800,,,,,,,ОКБ
16,2021-03-10 13:35:15,Lime,Lime CPA,Займ средний,1800,,,,,,,ОКБ
17,2021-03-10 13:35:13,Lime,Lime CPA,Займ хороший,3000,,,,,,,ОКБ
18,2021-03-07 20:01:10,Lime,Lime CPA,Займ хороший,3000,,,,,,,ОКБ
19,2021-03-06 09:37:18,Lime,Lime CPA,Займ средний,1800,,,,,,,ОКБ
20,2021-03-04 18:01:31,Lime,Lime CPA,Займ средний,1800,,,,,,,ОКБ
21,2021-03-04 11:07:16,Lime,Lime CPA,Займ средний,1800,,,,,,,ОКБ
22,2021-03-03 12:37:13,Lime,Lime CPA,Займ средний,1800,,,,,,,ОКБ
23,2021-03-02 04:47:12,Lime,Lime CPA,Займ хороший,3000,,,,,,,ОКБ
